"%s - Repsonse: %s","%s - Repsonse: %s"
"%s new review(s)","%s new review(s)"
"%s review(s) updated","%s review(s) updated"
"%s, please check the online manual for suggestions.","%s, please check the online manual for suggestions."
"WebwinkelKeur Import Reviews","WebwinkelKeur Import Reviews"
"WebwinkelKeur Javascript Sidebar","WebwinkelKeur Javascript Sidebar"
"WebwinkelKeur Log Settings","WebwinkelKeur Log Settings"
"WebwinkelKeur Overview Page","WebwinkelKeur Overview Page"
"WebwinkelKeur Permission Setting","WebwinkelKeur Permission Setting"
"WebwinkelKeur Reviews","WebwinkelKeur Reviews"
"Webwinkelkeur Logs","Webwinkelkeur Logs"
"WebwinkelKeur can invite your customers to write customer reviews.<br>This feature is only available to PLUS members.<br>","WebwinkelKeur can invite your customers to write customer reviews.<br>This feature is only available to PLUS members.<br>"
"Yes","Yes"
"You can find the necessary information in your WebwinkelKeur dashboard bottom of the page -Place WebwinkelKeur mark- <br/> As addition next to the activation of this extension we also recommend you to place the appropriate WebwinkelKeur logo and banner.<br/><br/>","You can find the necessary information in your WebwinkelKeur dashboard bottom of the page -Place WebwinkelKeur mark- <br/> As addition next to the activation of this extension we also recommend you to place the appropriate WebwinkelKeur logo and banner.<br/><br/>"
"You can find this information in your WebwinkelKeur account","You can find this information in your WebwinkelKeur account"
"You can only activate the Rich Snippets when this block is shown on your Homepage only","You can only activate the Rich Snippets when this block is shown on your Homepage only"
"and total score updated.","and total score updated."
"on","on"
"total score updated.","total score updated."
"<p>The extension comes with two coded blocks.<br>With this blocks you can add  your store rating in a Static block or CMS page.</p><p><br><strong>The Rich Snippets Block.<br></strong>Show your Store-rating with this block and generate results in the Google Search Engine Results better known as Rich Snippets.<br>Paste the code  below at the desired location using a Static Block or a CMS page.</p><p>Code: {{block type=""webwinkelconnect/snippets"" name=""webwinkelsnippets""}}</p><p><br><strong>Custom Block.</strong><br>With this block you can create  custom block for footer of header, you can paste the code  below at the desired location using a Static Block or a CMS page.<br>To edit this block you need to edit the .phtml file located in the following path: app/design/frontend/base/default/template/magmodules/webwinkelconnect/widget/custom.phtml</p><p>Code: {{block type=""webwinkelconnect/custom"" name=""webwinkelkeur""}}</p>","<p>The extension comes with two coded blocks.<br>With this blocks you can add  your store rating in a Static block or CMS page.</p><p><br><strong>The Rich Snippets Block.<br></strong>Show your Store-rating with this block and generate results in the Google Search Engine Results better known as Rich Snippets.<br>Paste the code  below at the desired location using a Static Block or a CMS page.</p><p>Code: {{block type=""webwinkelconnect/snippets"" name=""webwinkelsnippets""}}</p><p><br><strong>Custom Block.</strong><br>With this block you can create  custom block for footer of header, you can paste the code  below at the desired location using a Static Block or a CMS page.<br>To edit this block you need to edit the .phtml file located in the following path: app/design/frontend/base/default/template/magmodules/webwinkelconnect/widget/custom.phtml</p><p>Code: {{block type=""webwinkelconnect/custom"" name=""webwinkelkeur""}}</p>"
